IDOJ1_TipoOrgJurídica;IDAIO_AñoInicio;CONSUI_ConsumoIntermedio;SUELDOS_salariosAño;PRESTAC;TOTPERSO_PersonalTotal;VENTA
14;2011;588253;353868;160009;18;29722827
14;2011;1105528;1350756;513314;52;39319796
14;2011;1280503;353488;143280;47;11562485
14;2011;388903;196787;78365;14;3336261
13;1997;422249;644487;327197;36;7078308
14;1997;699584;143693;54908;13;10549999
14;2011;713272;581762;234580;45;16789176
14;1999;611033;315477;124899;24;5064266
5;2009;213169;195096;89572;2;1200343
14;2011;546848;637614;192457;32;5028324
4;2006;549448;209470;82683;11;9305416
4;2007;901106;608600;198662;26;12118620
14;2005;209953;334676;139606;28;6142343
14;2009;406516;919428;259102;35;3271529
14;1985;633395;712542;346469;25;9790011
5;2010;34286;248178;108058;16;1145650
2;1997;3403584;1123505;371165;15;12351024
14;1993;380203;295557;107957;22;2352308
4;2004;620601;429689;142300;14;2946711
14;2005;365893;144573;56870;11;2774776
14;2013;184098;508580;211654;19;3995617
14;2011;224151;88648;47132;8;1845255
5;2005;2795014;1471360;821925;61;12474927
14;2010;972853;471394;307656;27;9129697
4;1983;794250;209404;96206;10;2392638
14;2014;719869;187520;60758;15;23513792
2;2006;523531;185739;76692;15;3651325
14;1993;524641;729328;324571;20;6824410
14;1996;205442;364903;136199;7;1854722
4;2005;506178;448864;250370;17;5937857
4;2003;619473;101324;46821;9;2765485
4;2008;211025;148629;61595;10;3800806
7;2002;2969968;385322;226374;9;153304507
14;1991;390034;358342;156056;18;7739976
4;1996;279793;184783;74567;14;6635506
14;2010;1987076;1540335;588300;42;20318319
14;2000;26505;81122;44714;9;1115912
14;2008;2502123;1265013;430333;34;12161442
14;2003;161267;741038;339544;14;4729484
5;2008;204763;2875763;1053101;50;4315555
5;1978;353910;1026810;363270;34;10718121
14;2004;970061;547288;238977;16;11680661
4;1991;360977;144097;54920;6;2210595
14;2004;488053;209590;79626;14;984952
14;2011;7697190;812583;269106;147;264024972
5;2007;2022863;1656638;615673;34;26436312
14;1991;208343;103866;40092;7;2373923
14;1952;328435;219329;96091;10;1312241
5;2002;102400;311841;131869;8;3546467
14;2011;253713;316717;127722;25;8100242
14;2011;1163540;947032;424690;33;8101976
14;2008;86565;87703;33695;4;205421
14;1996;210213;118368;62881;9;2138973
5;2008;744163;622366;238283;25;2796493
14;2009;194591;137075;59200;14;7486966
4;1997;471608;408781;171079;30;3136983
5;1994;912775;1573155;556705;64;31165872
4;1987;551967;533081;291922;16;5968085
14;2008;562706;946802;214330;24;5629374
14;1998;1267229;516818;197460;22;12173651
13;2001;422249;644487;327197;34;7078308
14;1969;1278027;505643;202982;17;18836119
14;2000;509549;891885;404322;17;13806401
5;2006;1343072;859449;386897;19;9203897
14;2000;2944096;302474;152065;10;22244950
14;2009;436620;147187;66380;9;2452757
14;1996;923879;565742;216874;23;13928665
14;2011;782564;393916;157192;15;25665587
14;2004;15148352;5315220;2203511;392;102528132
14;2010;559517;191750;108001;12;824779
5;1996;424616;159989;61615;10;3148004
4;2007;223984;243100;81976;14;9743134
4;2010;310119;50373;19986;3;417742
4;1991;404758;303903;93006;26;6307660
5;1998;517836;496716;221660;13;10097594
14;2001;406101;943465;424664;17;10474951
14;2010;1242746;607015;260556;12;12696893
14;2010;274141;503537;177046;8;8924412
4;1983;57576;172067;85714;8;1427715
14;2010;40877;33605;12432;5;130292
14;2006;794785;673350;281286;23;9307947
4;1996;122041;276087;95033;8;2256227
14;2011;183665;164919;65748;10;7940735
14;2007;815880;264919;125425;14;8796341
