IDOJ1_TipoOrgJurídica,IDAIO_AñoInicio,CONSUI_ConsumoIntermedio,SUELDOS_salariosAño,PRESTAC,TOTPERSO_PersonalTotal,VENTA
14,2011,alto,medio,medio,alto,altas
14,2012,alto,bajo,bajo,bajo,bajas
14,2001,alto,medio,medio,medio,medias
14,2009,alto,alto,alto,bajo,bajas
14,2013,medio,medio,alto,medio,altas
14,2013,alto,medio,medio,medio,altas
14,2012,alto,alto,alto,medio,bajas
14,2012,medio,alto,alto,alto,muy altas
14,2012,alto,alto,alto,alto,altas
14,2011,muy alto,alto,alto,alto,medias
14,2012,muy alto,muy alto,muy alto,muy alto,muy altas
14,2013,muy alto,muy alto,muy alto,alto,muy altas
14,2013,muy alto,muy alto,muy alto,muy alto,muy altas
14,2013,muy alto,muy alto,muy alto,muy alto,muy altas
14,2002,medio,alto,alto,alto,altas
14,1972,medio,alto,alto,medio,altas
14,1986,bajo,alto,alto,medio,medias
14,1995,medio,alto,alto,alto,medias
14,2006,alto,alto,alto,alto,altas
4,2009,alto,alto,medio,medio,altas
14,1996,medio,medio,medio,alto,altas
5,2001,alto,bajo,bajo,bajo,altas
14,2010,alto,muy alto,muy alto,alto,altas
14,2009,medio,alto,alto,medio,altas
14,1993,medio,alto,alto,medio,medias
4,1996,alto,alto,alto,alto,medias
4,1995,bajo,alto,alto,bajo,medias
14,1996,medio,medio,medio,medio,bajas
14,2007,muy alto,muy alto,muy alto,muy alto,muy altas
14,1994,medio,alto,alto,alto,medias
14,2003,bajo,bajo,bajo,bajo,bajas
4,1996,alto,muy alto,muy alto,alto,muy altas
4,1998,alto,alto,medio,alto,altas
5,1993,medio,alto,alto,bajo,altas
14,1999,alto,muy alto,alto,alto,altas
12,2008,bajo,bajo,bajo,bajo,bajas
4,2008,bajo,bajo,bajo,bajo,bajas
14,1992,alto,alto,alto,alto,medias
14,1997,alto,muy alto,muy alto,alto,altas
14,2010,medio,medio,medio,alto,medias
14,2003,bajo,medio,medio,medio,bajas
14,2002,alto,alto,alto,alto,altas
5,2009,medio,medio,medio,alto,medias
14,2010,bajo,alto,alto,bajo,altas
4,2002,bajo,bajo,bajo,bajo,bajas
14,2012,alto,muy alto,muy alto,alto,altas
14,1998,bajo,bajo,bajo,medio,medias
14,2009,alto,alto,alto,alto,altas
14,2000,medio,bajo,bajo,bajo,altas
4,2002,alto,medio,medio,alto,altas
14,2010,alto,alto,alto,alto,altas
5,2002,medio,medio,medio,alto,medias
5,2003,bajo,bajo,medio,medio,medias
14,2007,muy alto,alto,alto,muy alto,muy altas
4,1990,alto,alto,alto,alto,altas
14,2000,alto,alto,muy alto,muy alto,altas
4,1985,bajo,medio,bajo,bajo,bajas
14,1996,medio,alto,alto,alto,medias
14,2006,muy alto,muy alto,muy alto,muy alto,muy altas
4,2009,medio,alto,alto,alto,bajas
14,2001,medio,alto,alto,alto,altas
4,1998,medio,medio,medio,medio,altas
14,1998,alto,alto,alto,alto,altas
14,1983,medio,medio,medio,bajo,medias
14,1984,bajo,medio,medio,bajo,medias
14,1986,medio,alto,alto,medio,altas
5,1997,medio,muy alto,muy alto,alto,altas
5,2006,alto,alto,alto,alto,altas
14,2000,medio,alto,muy alto,alto,muy altas
14,1996,alto,alto,alto,alto,altas
14,2005,alto,medio,medio,medio,medias
14,2011,bajo,alto,medio,alto,medias
14,2006,medio,medio,medio,bajo,medias
5,1992,muy alto,muy alto,muy alto,alto,altas
14,1996,medio,alto,medio,bajo,medias
5,2003,alto,medio,medio,medio,altas
5,2006,muy alto,alto,alto,medio,muy altas
14,2010,bajo,bajo,bajo,bajo,bajas
14,2003,muy alto,alto,alto,alto,altas
12,1996,medio,bajo,medio,bajo,medias
14,1972,medio,alto,alto,medio,medias
14,1984,bajo,medio,medio,bajo,bajas
7,2008,muy alto,muy alto,alto,medio,medias
14,1990,medio,bajo,bajo,bajo,bajas
4,1987,medio,medio,medio,medio,medias
4,2008,muy alto,alto,alto,bajo,medias
14,2002,muy alto,bajo,medio,medio,medias
14,1998,medio,alto,alto,alto,medias
14,2003,medio,medio,medio,medio,medias
14,2001,alto,alto,alto,alto,muy altas
14,1988,alto,muy alto,muy alto,alto,muy altas
5,2004,medio,alto,alto,medio,medias
14,2008,medio,bajo,bajo,bajo,medias
5,2007,medio,bajo,bajo,bajo,altas
14,2006,medio,alto,alto,alto,altas
14,2007,alto,alto,alto,medio,altas
14,2005,alto,medio,medio,bajo,altas
5,1999,muy alto,alto,muy alto,alto,altas
14,1994,alto,alto,alto,medio,altas
14,2006,muy alto,muy alto,alto,alto,muy altas
14,1993,bajo,alto,alto,medio,altas
2,1972,alto,muy alto,muy alto,medio,altas
14,1999,medio,alto,alto,bajo,bajas
5,1999,muy alto,muy alto,muy alto,muy alto,muy altas
14,2011,medio,medio,medio,alto,altas
14,2010,alto,muy alto,muy alto,muy alto,altas
14,2011,medio,alto,alto,alto,muy altas
14,2011,alto,medio,alto,medio,altas
14,2011,medio,medio,medio,medio,altas
14,2011,muy alto,muy alto,alto,muy alto,muy altas
